instant,season,year,month,holiday,week_day,working_day,weather,temperature,feeling_temperature,humidity,wind_speed,y
66,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,1872
299,4,0,10,0,3,1,2,0.484167,0.472846,0.720417,0.148642,3894
127,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,4714
260,3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,4511
696,4,1,11,0,1,1,1,0.313333,0.339004,0.535417,0.04665,5087
636,4,1,9,0,4,1,2,0.65,0.607975,0.690833,0.134342,7393
340,4,0,12,0,2,1,3,0.4625,0.4564,0.949583,0.232583,2594
613,3,1,9,0,2,1,1,0.725833,0.686888,0.755,0.236321,6864
138,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,3855
467,2,1,4,0,3,1,1,0.348696,0.337274,0.469565,0.295274,4862
8,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,959
343,4,0,12,0,5,1,1,0.290833,0.317542,0.695833,0.0827167,3620
671,4,1,11,0,4,1,2,0.365833,0.369942,0.581667,0.157346,5986
310,4,0,11,0,0,0,1,0.348333,0.362358,0.734583,0.0920542,3649
507,2,1,5,0,1,1,2,0.598333,0.565667,0.81125,0.233204,4359
186,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,4665
354,4,0,12,0,2,1,2,0.385833,0.396454,0.595417,0.0615708,3750
429,1,1,3,0,0,0,1,0.325833,0.303021,0.403333,0.334571,3423
154,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,5312
55,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,1807
31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,1501
398,1,1,2,0,4,1,2,0.399167,0.398971,0.672917,0.187187,3761
652,4,1,10,0,6,0,1,0.393333,0.391396,0.494583,0.146142,7109
101,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,3348
485,2,1,4,0,0,0,1,0.458333,0.450121,0.587083,0.116908,6304
602,3,1,8,0,5,1,2,0.7025,0.6471,0.615,0.0721458,7582
693,4,1,11,0,5,1,1,0.368333,0.378779,0.56875,0.148021,3910
238,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,4661
57,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,1969
61,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,2134
468,2,1,4,0,4,1,1,0.3975,0.387604,0.46625,0.290429,5409
263,3,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,3641
408,1,1,2,0,0,0,1,0.1275,0.101658,0.464583,0.409212,1529
265,3,0,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,4795
681,4,1,11,0,0,0,1,0.420833,0.421713,0.659167,0.1275,6852
716,4,1,12,0,0,0,2,0.3625,0.369938,0.83875,0.100742,3786
209,3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,4390
466,2,1,4,0,2,1,1,0.446667,0.436233,0.435,0.249375,5918
418,1,1,2,0,3,1,1,0.395833,0.392667,0.567917,0.234471,4773
168,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,4844
39,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,1530
497,2,1,5,0,5,1,1,0.533333,0.520833,0.360417,0.236937,7030
631,3,1,9,0,6,0,1,0.65,0.610488,0.646667,0.283583,8395
598,3,1,8,0,1,1,2,0.635833,0.595967,0.734167,0.129979,6530
301,4,0,10,0,5,1,2,0.330833,0.318812,0.585833,0.229479,3747
472,2,1,4,1,1,0,1,0.664167,0.614925,0.561667,0.284829,6370
587,3,1,8,0,4,1,1,0.755833,0.699508,0.620417,0.1561,7286
621,3,1,9,0,3,1,1,0.599167,0.570075,0.577083,0.131846,7870
164,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,5020
125,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,4433
155,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,5342
337,4,0,12,0,6,0,1,0.299167,0.310604,0.612917,0.0957833,3614
60,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,1851
715,4,1,12,0,6,0,1,0.324167,0.338383,0.650417,0.10635,5047
305,4,0,11,0,2,1,1,0.400833,0.397088,0.68375,0.135571,4068
731,1,1,12,0,1,1,2,0.215833,0.223487,0.5775,0.154846,2729
629,3,1,9,0,4,1,1,0.546667,0.532192,0.618333,0.118167,7720
344,4,0,12,0,6,0,1,0.275,0.266412,0.5075,0.233221,3190
720,4,1,12,0,4,1,2,0.33,0.335217,0.667917,0.132463,4128
312,4,0,11,0,2,1,1,0.408333,0.412246,0.721667,0.0690375,4205
442,1,1,3,0,6,0,2,0.514167,0.505046,0.755833,0.110704,7836
159,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,4401
52,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,1107
528,2,1,6,0,1,1,2,0.720833,0.659721,0.587917,0.207713,6664
495,2,1,5,0,3,1,2,0.575,0.553025,0.744167,0.216412,4717
481,2,1,4,0,3,1,1,0.476667,0.470317,0.427917,0.118792,6196
362,1,0,12,0,3,1,1,0.29913,0.279974,0.503913,0.293961,2302
426,1,1,3,0,4,1,1,0.485833,0.475371,0.615417,0.226987,4990
455,2,1,3,0,5,1,2,0.37,0.375621,0.580833,0.138067,5459
220,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,4326
309,4,0,11,0,6,0,1,0.326667,0.323854,0.519167,0.189062,3926
75,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,2192
283,4,0,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,5117
480,2,1,4,0,2,1,1,0.413333,0.405283,0.454167,0.249383,5633
5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600
588,3,1,8,0,5,1,2,0.715833,0.667942,0.715833,0.238813,5786
665,4,1,10,0,5,1,2,0.545833,0.52275,0.807083,0.132467,7444
454,2,1,3,0,4,1,1,0.494167,0.482304,0.439167,0.31965,6133
645,4,1,10,0,6,0,1,0.554167,0.538521,0.664167,0.268025,7965
6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606
142,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,4660
536,2,1,6,0,2,1,1,0.688333,0.654692,0.69,0.148017,6825
136,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,3958
478,2,1,4,0,0,0,3,0.396667,0.389504,0.835417,0.344546,1027
379,1,1,1,0,6,0,1,0.18,0.183087,0.4575,0.187183,2493
655,4,1,10,0,2,1,1,0.468333,0.460846,0.558333,0.182221,7534
23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,986
661,4,1,10,0,1,1,1,0.4875,0.482942,0.568333,0.0814833,7058
277,4,0,10,0,2,1,1,0.484167,0.472858,0.71,0.205854,4456
285,4,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,2416
271,4,0,9,0,3,1,2,0.635,0.575158,0.84875,0.148629,3907
427,1,1,3,0,5,1,2,0.353333,0.359842,0.657083,0.144904,3194
699,4,1,11,0,4,1,1,0.28087,0.298422,0.555652,0.115522,5323
282,4,0,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345,5511
421,1,1,2,0,6,0,1,0.290833,0.255675,0.395833,0.421642,2732
221,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,4602
662,4,1,10,0,2,1,1,0.544167,0.530304,0.641667,0.0945458,7466
321,4,0,11,0,4,1,2,0.341667,0.323221,0.575833,0.305362,3053
373,1,1,1,0,0,0,1,0.3375,0.340258,0.465,0.191542,3425
121,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,3351
82,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,2121
717,4,1,12,0,1,1,2,0.393333,0.4015,0.907083,0.0982583,4585
14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,1421
448,2,1,3,0,5,1,2,0.601667,0.570067,0.694167,0.1163,8362
727,1,1,12,0,4,1,2,0.254167,0.226642,0.652917,0.350133,2114
701,4,1,12,0,6,0,2,0.298333,0.316904,0.806667,0.0597042,5191
161,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,4586
713,4,1,12,0,4,1,1,0.295833,0.294188,0.485833,0.174129,5532
239,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,1115
380,1,1,1,0,0,0,1,0.166667,0.161625,0.419167,0.251258,2311
475,2,1,4,0,4,1,1,0.498333,0.493046,0.6125,0.0659292,6565
711,4,1,12,0,2,1,2,0.353333,0.338363,0.596667,0.296037,5501
441,1,1,3,0,5,1,2,0.435833,0.436229,0.842083,0.113192,4378
523,2,1,6,0,3,1,1,0.554167,0.542292,0.61125,0.077125,7055
547,3,1,6,0,6,0,1,0.765,0.687508,0.60125,0.161071,5687
196,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,5538
192,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,4086
117,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,3872
559,3,1,7,0,4,1,1,0.715833,0.654683,0.529583,0.146775,7446
722,1,1,12,0,6,0,1,0.265833,0.236113,0.44125,0.407346,1749
165,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,4891
107,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,3744
17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,1000
64,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,2077
385,1,1,1,0,5,1,2,0.2175,0.220958,0.45,0.20275,3163
677,4,1,11,0,3,1,2,0.295833,0.274621,0.5475,0.304108,5035
106,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,795
520,2,1,6,0,0,0,1,0.6025,0.575133,0.493333,0.184087,7641
688,4,1,11,0,0,0,1,0.3425,0.337746,0.692917,0.227612,4669
330,4,0,11,0,6,0,1,0.375833,0.385087,0.681667,0.0684208,3068
346,4,0,12,0,1,1,1,0.238333,0.270196,0.670833,0.06345,3310
639,4,1,9,0,0,0,1,0.526667,0.517663,0.583333,0.134958,6889
406,1,1,2,0,5,1,2,0.280833,0.293558,0.54,0.116929,3831
546,3,1,6,0,5,1,1,0.834167,0.786613,0.48875,0.165417,5463
94,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,3115
541,3,1,6,0,0,0,1,0.743333,0.674254,0.479167,0.145525,6891
434,1,1,3,0,5,1,2,0.410833,0.397083,0.407083,0.4148,4569
84,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,2210
679,4,1,11,0,5,1,1,0.361667,0.355413,0.540833,0.214558,5992
349,4,0,12,0,4,1,2,0.4225,0.412237,0.634167,0.268042,3709
569,3,1,7,0,0,0,2,0.6675,0.623125,0.7625,0.0939208,7410
456,2,1,3,0,6,0,2,0.424167,0.421708,0.738333,0.250617,6235
199,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,4458
146,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,4677
415,1,1,2,0,0,0,2,0.28,0.265788,0.515833,0.253112,2689
151,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,3982
586,3,1,8,0,3,1,2,0.75,0.707717,0.672917,0.1107,7534
40,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,1605
537,2,1,6,0,3,1,1,0.7825,0.720975,0.592083,0.113812,6211
535,2,1,6,0,1,1,2,0.568333,0.544842,0.777917,0.174746,5099
668,4,1,10,0,1,1,3,0.44,0.4394,0.88,0.3582,22
564,3,1,7,0,2,1,1,0.818333,0.755683,0.505833,0.114429,6786
323,4,0,11,0,6,0,1,0.329167,0.324483,0.502083,0.224496,3663
254,3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,5046
654,4,1,10,0,1,1,2,0.561667,0.53915,0.7075,0.296037,5875
534,2,1,6,0,0,0,1,0.5925,0.571975,0.59875,0.144904,6978
718,4,1,12,0,2,1,1,0.410833,0.409708,0.66625,0.221404,5557
358,1,0,12,0,6,0,1,0.3025,0.299242,0.5425,0.190304,1011
70,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,1977
3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349
341,4,0,12,0,3,1,3,0.41,0.400246,0.970417,0.266175,705
222,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,4780
682,4,1,11,1,1,0,1,0.485,0.475383,0.741667,0.173517,6269
147,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,4679
290,4,0,10,0,1,1,1,0.534167,0.510725,0.579583,0.175379,4570
242,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,5204
30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,1096
603,3,1,8,0,6,0,2,0.661667,0.618696,0.712917,0.244408,6053
115,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,4073
518,2,1,6,0,5,1,2,0.654167,0.607962,0.755417,0.237563,4127
509,2,1,5,0,3,1,2,0.621667,0.584612,0.774583,0.102,5260
726,1,1,12,0,3,1,3,0.243333,0.220333,0.823333,0.316546,441
604,3,1,8,0,0,0,2,0.653333,0.595996,0.845833,0.228858,5255
177,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,5305
169,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,5119
348,4,0,12,0,3,1,2,0.3175,0.338362,0.66375,0.0609583,3740
377,1,1,1,0,4,1,2,0.3825,0.381938,0.802917,0.180967,4097
635,4,1,9,0,3,1,1,0.635,0.596613,0.630833,0.2444,7733
659,4,1,10,0,6,0,1,0.484167,0.472842,0.572917,0.117537,8090
625,3,1,9,0,0,0,1,0.58,0.563125,0.57,0.0901833,7333
562,3,1,7,0,0,0,1,0.745833,0.705196,0.717917,0.166667,6031
190,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,5336
137,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,4123
447,2,1,3,0,4,1,1,0.554167,0.531567,0.83125,0.117562,6871
615,3,1,9,0,4,1,2,0.696667,0.655329,0.810417,0.142421,6203
255,3,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,4713
647,4,1,10,1,1,0,2,0.383333,0.387608,0.709583,0.189679,5478
291,4,0,10,0,2,1,2,0.5325,0.522721,0.701667,0.110087,4748
690,4,1,11,0,2,1,2,0.374167,0.380667,0.685,0.082725,5634
620,3,1,9,0,2,1,1,0.5775,0.554292,0.52,0.0920542,7767
233,3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,3873
34,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,1550
89,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,1536
45,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,1913
342,4,0,12,0,4,1,1,0.265833,0.256938,0.58,0.240058,3322
62,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,1685
700,4,1,11,0,5,1,1,0.298333,0.323867,0.649583,0.0584708,5668
200,3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,4541
430,1,1,3,0,1,1,1,0.243333,0.241171,0.50625,0.228858,3333
395,1,1,1,0,1,1,1,0.269167,0.262625,0.400833,0.215792,3624
298,4,0,10,0,2,1,1,0.471667,0.463375,0.622917,0.166658,4687
74,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,2056
394,1,1,1,0,0,0,1,0.2825,0.272721,0.31125,0.24005,3243
542,3,1,6,0,1,1,1,0.715833,0.654042,0.504167,0.300383,6779
626,3,1,9,0,1,1,2,0.580833,0.55305,0.734583,0.151742,6869
610,3,1,9,0,6,0,2,0.753333,0.702654,0.638333,0.113187,6140
616,3,1,9,0,5,1,1,0.703333,0.657204,0.73625,0.171646,7504
218,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,4294
540,3,1,6,0,6,0,1,0.731667,0.652792,0.534583,0.179721,7458
605,3,1,8,0,1,1,1,0.703333,0.654688,0.730417,0.128733,6917
422,1,1,2,0,0,0,1,0.279167,0.268308,0.41,0.205229,3389
139,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,4575
213,3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,4266
617,3,1,9,0,6,0,2,0.659167,0.611121,0.799167,0.281104,5976
614,3,1,9,0,3,1,1,0.736667,0.708983,0.74125,0.187808,7112
672,4,1,11,0,5,1,1,0.355,0.356042,0.522083,0.266175,5847
235,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,5895
68,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,1891
25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,1985
382,1,1,1,0,2,1,2,0.373043,0.364278,0.716087,0.34913,2935
217,3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,4866
130,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,4803
350,4,0,12,0,5,1,2,0.375,0.359825,0.500417,0.260575,3577
112,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,1683
167,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,3767
208,3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,4656
439,1,1,3,0,3,1,1,0.5725,0.548617,0.507083,0.115062,6312
553,3,1,7,0,5,1,1,0.828333,0.752533,0.450833,0.146142,6207
275,4,0,10,0,0,0,2,0.356667,0.345317,0.791667,0.222013,2918
622,3,1,9,0,4,1,1,0.6125,0.579558,0.637083,0.0827208,7804
585,3,1,8,0,2,1,2,0.735833,0.697621,0.70375,0.116908,7273
526,2,1,6,0,6,0,1,0.710833,0.648367,0.437083,0.144287,7498
288,4,0,10,0,6,0,1,0.506667,0.498725,0.483333,0.258083,5217
470,2,1,4,0,6,0,1,0.495,0.487996,0.502917,0.190917,7460
327,4,0,11,0,3,1,2,0.440833,0.430537,0.757917,0.335825,2566
122,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,4401
508,2,1,5,0,2,1,2,0.615,0.580825,0.765833,0.118167,6073
229,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,4694
446,2,1,3,0,3,1,2,0.531667,0.513258,0.82125,0.0895583,6230
118,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,4058
465,2,1,4,0,1,1,1,0.489167,0.476638,0.3175,0.358196,5585
26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,506
111,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,4189
150,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,4098
153,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,4968
529,2,1,6,0,2,1,2,0.653333,0.597875,0.833333,0.214546,4972
462,2,1,4,0,5,1,1,0.403333,0.390767,0.377083,0.300388,6460
140,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,4917
261,3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,4274
324,4,0,11,0,0,0,2,0.463333,0.457058,0.684583,0.18595,3520
657,4,1,10,0,4,1,2,0.5225,0.512625,0.728333,0.236937,7509
249,3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,2710
451,2,1,3,0,1,1,1,0.445833,0.43875,0.477917,0.386821,5558
411,1,1,2,0,3,1,1,0.348333,0.351629,0.53125,0.1816,4169
20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,1927
329,4,0,11,0,5,1,1,0.375,0.380671,0.64375,0.0988958,2792
297,4,0,10,0,1,1,1,0.463333,0.457067,0.772083,0.118792,4187
270,4,0,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171,4120
227,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,4338
95,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,1795
516,2,1,5,0,3,1,2,0.656667,0.611129,0.67,0.134329,6855
281,4,0,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,5409
287,4,0,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883,3644
590,3,1,8,0,0,0,1,0.700833,0.644579,0.530417,0.122512,6544
683,4,1,11,0,2,1,2,0.343333,0.323225,0.662917,0.342046,4094
445,1,1,3,0,2,1,1,0.560833,0.538533,0.807917,0.121271,6093
185,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,6043
372,1,1,1,0,6,0,1,0.393333,0.390779,0.531667,0.174758,4521
641,4,1,10,0,2,1,3,0.590833,0.542333,0.871667,0.104475,4639
712,4,1,12,0,3,1,2,0.2975,0.297338,0.538333,0.162937,5319
276,4,0,10,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,3570
686,4,1,11,0,5,1,1,0.345,0.347204,0.524583,0.171025,5698
183,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,5119
33,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,1526
81,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,2703
308,4,0,11,0,5,1,2,0.403333,0.403392,0.6225,0.271779,4046
12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,1162
44,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,1589
87,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,2028
37,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,1623
59,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,1446
42,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,1746
412,1,1,2,0,4,1,2,0.316667,0.330162,0.752917,0.091425,3005
563,3,1,7,0,1,1,1,0.763333,0.724125,0.645,0.164187,6830
210,3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,3846
149,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,4788
595,3,1,8,0,5,1,1,0.723333,0.2424,0.570833,0.231354,7148
124,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,2633
575,3,1,7,0,6,0,1,0.755833,0.697604,0.613333,0.15735,6685
99,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,2455
378,1,1,1,0,5,1,1,0.274167,0.249362,0.5075,0.378108,3214
131,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,4182
24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,1416
638,4,1,9,0,6,0,1,0.5425,0.530296,0.542917,0.227604,8555
556,3,1,7,0,1,1,2,0.710833,0.654054,0.683333,0.180975,6569
371,1,1,1,0,5,1,1,0.334167,0.340267,0.542083,0.167908,4098
513,2,1,5,0,0,0,1,0.69,0.641425,0.697083,0.215171,6591
384,1,1,1,0,4,1,1,0.19,0.190038,0.4975,0.220158,3292
202,3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,3784
369,1,1,1,0,3,1,2,0.1075,0.119337,0.414583,0.1847,2368
555,3,1,7,0,0,0,1,0.8225,0.790396,0.57375,0.125629,4672
611,3,1,9,0,0,0,2,0.696667,0.649,0.815,0.0640708,5810
388,1,1,1,0,1,1,2,0.218333,0.243058,0.91125,0.110708,2432
293,4,0,10,0,4,1,1,0.475833,0.466525,0.63625,0.422275,4195
257,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,4785
607,3,1,8,0,3,1,1,0.685,0.635733,0.552083,0.112562,7697
198,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,5302
96,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,2808
705,4,1,12,0,3,1,1,0.438333,0.428012,0.485,0.324021,5729
170,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,4744
582,3,1,8,0,6,0,1,0.793333,0.751267,0.613333,0.257458,6824
